,X,people_daily_lives,pol_covid_testing,pol_econ_stocks,culture_film,pol_racism,pol_edu,pol_trump,pol_state_level,pol_congress,people_family,other_sports_1,pol_covid_cases,pol_china,other_social_media,other_sports_2,other_local_city,pol_election,pol_econ_workers,pol_vaccine,other_climate,bias,reliability,source_name,lean_buckets,local_national
21,21,0.028117103,0.073771074,0.015439592,0.077428614,0.041737649,0.017852356,0.163390551,0.039225814,0.036017457,0.144548872,0.005312912,0.050632248,0.044537725,0.046652034,0.010606636,0.019832527,0.047396249,0.05648788,0.061828147,0.019184598,-13.51,38.74,HuffPost,left_leaning,national
22,22,0.044825695,0.099442593,0.011953982,0.026614844,0.022732024,0.196882549,0.010894767,0.057879816,0.006936907,0.063254422,0.102786146,0.038022464,0.004585963,0.04133892,0.127122034,0.0571043,0.006157331,0.045701733,0.028093118,0.007670408,-3.952444,44.299878,Knoxville_News_Sentinel,center,local
23,23,0.026782787,0.067551228,0.028215294,0.027340727,0.044193484,0.110491917,0.051836011,0.05684582,0.0371757,0.046929403,0.036611586,0.129036008,0.061346069,0.028403079,0.047794055,0.040752751,0.052012582,0.057072241,0.033720424,0.015888841,-3.029206,45.329506,LancasterOnline,center,local
24,24,0.031992104,0.061569151,0.020752828,0.096078261,0.037635428,0.028142979,0.037748664,0.055121422,0.014373826,0.134116836,0.050336626,0.072057841,0.029064681,0.039864564,0.065591854,0.081600964,0.021608177,0.061008213,0.04318216,0.018153425,-8.18,48.09,Los_Angeles_Times,center,local_national
25,25,0.035245037,0.060713232,0.011798188,0.013201885,0.043792028,0.060070507,0.025371265,0.095425484,0.025089898,0.086816853,0.004838791,0.090420547,0.005565893,0.046537542,0.012868929,0.136251542,0.110124769,0.070578485,0.05385884,0.011430306,-7.18,48.31,Milwaukee_Journal_Sentinel,center,local
26,26,0.027541055,0.056058998,0.057165426,0.024420091,0.046546023,0.028786323,0.045962251,0.048027701,0.031182969,0.091462351,0.088400781,0.073982476,0.032796442,0.038269751,0.067424605,0.045937286,0.049598548,0.073494397,0.047125594,0.025816953,-3.97,47.1,Minneapolis_Star_Tribune,center,local
27,27,0.076404,0.082403556,0.008989431,0.016478335,0.042729969,0.034861543,0.012546528,0.226107777,0.021141104,0.056827448,0.03358956,0.079961733,0.003291151,0.037002812,0.023509461,0.061322517,0.02916329,0.091582465,0.046657086,0.015430224,-2.905956,47.380942,mlive,center,local
28,28,0.005186769,0.029130948,0.011161549,0.01130161,0.020226179,0.010511494,0.360431434,0.027405932,0.078777303,0.098957858,0.002992163,0.052791757,0.019609125,0.063281678,0.003039932,0.007408606,0.036596327,0.057520198,0.096781783,0.006887331,-14.74,43.46,MSNBC,left_leaning,national
29,29,0.036688278,0.0915449,0.031420827,0.029828088,0.058682872,0.020663233,0.082181332,0.069089795,0.036289165,0.072912123,0.006005785,0.084833718,0.08380506,0.046126368,0.012009489,0.023569126,0.060237485,0.05496188,0.083888658,0.015261825,-7.72,46.91,NBC_News,center,national
30,30,0.009775545,0.114933677,0.016860804,0.090234101,0.044251374,0.021736067,0.057549606,0.085343561,0.023583553,0.083019273,0.057489393,0.124199763,0.042681841,0.041521722,0.044075082,0.025186639,0.019906765,0.032130862,0.053039847,0.012480556,-6.79,39.5,New_York_Daily_News,center,local
